http://tonsky.me/blog/atom.xml	Nikita Prokopov
https://poor.dev/blog/index.xml	Poor.dev - Aram Drevekenin
https://thesephist.com/index.xml	Linus Lee
https://www.geoffreylitt.com/feed.xml	Geoffrey Litt
https://sirupsen.com/atom.xml	Simon Hørup Eskildsen
https://www.karl.berlin/atom.xml	Karl Berlin
https://100r.co/links/rss.xml	100 Rabbits
https://siderea.dreamwidth.org/data/rss	Siderea
https://jameso.be/feed.xml	James O'Beirne
https://carlosbecker.com/posts/index.xml	Carlos Becker
https://randomascii.wordpress.com/feed/	Bruce Dawson
https://zyedidia.github.io/blog/index.xml	Zachary Yedidia
https://codemadness.org/atom_content.xml	Code madness - Hiltjo Posthuma
https://hvacknowitall.com/feed	HVAC Know It All
https://archlinux.org/feeds/news/	Arch Linux news
